State,x,y
Andhra Pradesh,-58.0,-130.0
Arunachal Pradesh,183.0,106.0
Assam,157.0,61.0
Bihar,52.0,51.0
Chhattisgarh,-10.0,-24.0
Delhi,-76.0,103.0
Goa,-138.0,-121.0
Gujarat,-164.0,20.0
Haryana,-86.0,113.0
Himachal Pradesh,-70.0,158.0
Jharkhand,44.0,14.0
Karnataka,-113.0,-134.0
Kerala,-100.0,-210.0
Lakshadweep,10,73
Madhya Pradesh,-67.0,10.0
Maharashtra,-114.0,-40.0
Manipur,174.0,41.0
Meghalaya,135.0,50.0
Mizoram,157.0,14.0
Nagaland,181.0,65.0
Odisha,32.0,-35.0
Punjab,-98.0,146.0
Rajasthan,-129.0,74.0
Sikkim,93.0,83.0
Tamil Nadu,-71.0,-193.0
Telangana,-54.0,-77.0
Tripura,141.0,18.0
Jammu and Kashmir,-83.0,200.0
Uttar Pradesh,-21.0,70.0
Uttarakhand,-44.0,126.0
West Bengal,84.0,10.0
